Job_Title,Company,Location,Summary,Jobs_Description,Salary
JAVA Developer (All Levels),QVine Corporation,"Herndon, VA","Full Performance, Senior, Expert, and SME levels.
Candidates must have experience developing in JAVA.
Preferred (but not required) experience with Agile…","QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
Mid Level Java Developer,Asponte Technology,,3-5 years java development experience ability to communicate in a professional environment authorization to work in the USA positive flexible attitude.,"QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
Java Developer,Piper Companies,"Chapel Hill, NC","Java developer with experience in Java, Spring Boot, REST services.
Piper Enterprise Solutions has a client looking for a Jr. Java Developer in Chapel Hill…","QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V","$90,000 - $100,000 a year"
Junior Java Developer,"Edaptive Computing, Inc.","Dayton, OH 45458","Developer will participate in all software application lifecycle sub-processes including analysis, specification, design, implementation, testing, release, and…","QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
"Java Developer
new",Deloitte,"Lake Mary, FL",Collaborate and implement most relevant development tools/techniques to solve client issues and exceed client requirements.,"QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
Java Developer,Metro IT Resources,Puerto Rico,"Assume a role in the design, development, and support of mission critical java bases applications.
The analyst will participate in the full development life…","QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
Java Developer,"LingaTech, Inc","Pittsburgh, PA",Member of an agile software engineer team responsible for building scalable software applications across all digital channels to serve our customers.,"QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",$80 - $85 an hour
Java/J2EE Developer,ITResonance,"Jenison, MI","Role: Java/J2EE Developer/Java Database Connectivity (JDBC).
Year of Experience : 8+ years.
Mandatory programming skills: Java, J2EE, EJB 2 and 3, Servlet, JSP,…","QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
Java Developer for Genetic Research,University of Minnesota,"Minneapolis, MN",BS/BA in computer science or a scientific field and 2 year of related experience or equivalent combination of education and work experience to equal 6 years.,"QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
Java Developer,CapB InfoteK,"Chicago, IL","For our growing needs we need consultants who can work with us on salaried or contract basis.
Java Developer with Automated Testing experience and Automated CI…","QVine is hiring cleared (poly required) JAVA development professionals. Full Performance, Senior, Expert, and SME levels. Hiring immediately.
Candidates must have experience developing in JAVA. Preferred (but not required) experience with Agile development and utilizing tools/systems such as J2EE, Spring, Hibernate, Ant, Maven, and Eclipse.

QVine Corporation is an Equal Opportunity Employer—M/F/D/V",
